"        65 to 69 years","312,138","±2,972","5.2%","±0.1","143,985","±1,872","4.9%","±0.1","168,153","±2,140","5.4%","±0.1","44,083","±1,092","6.0%","±0.1","21,010","±614","5.8%","±0.2","23,073","±818","6.2%","±0.2","37,943","±1,447","4.9%","±0.2","17,375","±960","4.7%","±0.3","20,568","±978","5.1%","±0.2","37,539","±1,299","5.0%","±0.2","17,419","±815","4.8%","±0.2","20,120","±876","5.1%","±0.2","37,315","±1,277","4.9%","±0.2","16,260","±712","4.5%","±0.2","21,055","±889","5.4%","±0.2","37,880","±1,113","5.0%","±0.1","17,755","±711","4.8%","±0.2","20,125","±830","5.1%","±0.2","38,618","±1,343","5.0%","±0.2","17,631","±873","4.6%","±0.2","20,987","±911","5.4%","±0.2","38,170","±1,282","5.3%","±0.2","17,208","±826","5.0%","±0.2","20,962","±860","5.6%","±0.2","40,590","±1,029","5.3%","±0.1","19,327","±723","5.2%","±0.2","21,263","±754","5.4%","±0.2"
"        70 to 74 years","234,616","±2,987","3.9%","±0.1","104,933","±1,892","3.6%","±0.1","129,683","±2,098","4.2%","±0.1","36,987","±1,233","5.0%","±0.2","17,304","±754","4.8%","±0.2","19,683","±784","5.3%","±0.2","26,475","±1,133","3.4%","±0.1","11,441","±674","3.1%","±0.2","15,034","±968","3.7%","±0.2","28,397","±1,317","3.8%","±0.2","12,825","±752","3.5%","±0.2","15,572","±891","4.0%","±0.2","26,273","±1,197","3.5%","±0.2","11,312","±716","3.1%","±0.2","14,961","±922","3.8%","±0.2","28,250","±1,322","3.7%","±0.2","12,413","±631","3.3%","±0.2","15,837","±1,218","4.0%","±0.3","28,957","±1,086","3.8%","±0.1","13,501","±724","3.5%","±0.2","15,456","±692","4.0%","±0.2","28,236","±1,232","3.9%","±0.2","12,174","±713","3.6%","±0.2","16,062","±960","4.3%","±0.3","31,041","±987","4.0%","±0.1","13,963","±666","3.7%","±0.2","17,078","±758","4.3%","±0.2"
"        75 to 79 years","160,527","±2,281","2.7%","±0.1","69,600","±1,297","2.4%","±0.1","90,927","±1,917","2.9%","±0.1","25,366","±1,055","3.5%","±0.1","11,487","±600","3.2%","±0.2","13,879","±769","3.7%","±0.2","16,753","±1,041","2.2%","±0.1","7,073","±591","1.9%","±0.2","9,680","±731","2.4%","±0.2","20,022","±1,378","2.6%","±0.2","8,823","±767","2.4%","±0.2","11,199","±830","2.9%","±0.2","17,896","±767","2.4%","±0.1","7,654","±577","2.1%","±0.2","10,242","±685","2.6%","±0.2","18,049","±848","2.4%","±0.1","8,144","±651","2.2%","±0.2","9,905","±553","2.5%","±0.1","20,758","±1,067","2.7%","±0.1","9,075","±574","2.4%","±0.1","11,683","±810","3.0%","±0.2","19,653","±772","2.7%","±0.1","7,854","±513","2.3%","±0.2","11,799","±671","3.1%","±0.2","22,030","±970","2.9%","±0.1","9,490","±584","2.5%","±0.2","12,540","±671","3.2%","±0.2"
"        80 to 84 years","105,809","±2,028","1.8%","±0.1","44,054","±1,189","1.5%","±0.1","61,755","±1,485","2.0%","±0.1","16,789","±845","2.3%","±0.1","7,482","±530","2.1%","±0.1","9,307","±584","2.5%","±0.2","11,150","±727","1.5%","±0.1","4,552","±470","1.2%","±0.1","6,598","±506","1.6%","±0.1","12,933","±754","1.7%","±0.1","5,431","±452","1.5%","±0.1","7,502","±573","1.9%","±0.1","12,270","±840","1.6%","±0.1","5,109","±604","1.4%","±0.2","7,161","±567","1.8%","±0.1","10,747","±639","1.4%","±0.1","4,563","±442","1.2%","±0.1","6,184","±423","1.6%","±0.1","13,821","±1,047","1.8%","±0.1","5,439","±445","1.4%","±0.1","8,382","±863","2.1%","±0.2","12,956","±764","1.8%","±0.1","5,209","±520","1.5%","±0.2","7,747","±586","2.1%","±0.2","15,143","±889","2.0%","±0.1","6,269","±481","1.7%","±0.1","8,874","±643","2.2%","±0.2"
"        85 years and over","117,785","±2,356","2.0%","±0.1","40,033","±1,172","1.4%","±0.1","77,752","±2,036","2.5%","±0.1","16,177","±971","2.2%","±0.1","5,762","±513","1.6%","±0.1","10,415","±750","2.8%","±0.2","12,681","±876","1.6%","±0.1","3,887","±450","1.1%","±0.1","8,794","±749","2.2%","±0.2","18,031","±1,112","2.4%","±0.1","6,174","±501","1.7%","±0.1","11,857","±968","3.0%","±0.2","11,913","±857","1.6%","±0.1","4,030","±442","1.1%","±0.1","7,883","±704","2.0%","±0.2","10,096","±772","1.3%","±0.1","3,301","±425","0.9%","±0.1","6,795","±532","1.7%","±0.1","14,132","±893","1.8%","±0.1","4,928","±401","1.3%","±0.1","9,204","±779","2.4%","±0.2","14,729","±983","2.1%","±0.1","4,835","±528","1.4%","±0.2","9,894","±742","2.6%","±0.2","20,026","±1,211","2.6%","±0.2","7,116","±605","1.9%","±0.2","12,910","±883","3.3%","±0.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","749,465","±472","12.4%","±0.1","382,546","±375","13.1%","±0.1","366,919","±363","11.8%","±0.1","88,475","±1,067","12.1%","±0.1","45,724","±740","12.7%","±0.2","42,751","±772","11.5%","±0.2","96,583","±2,391","12.6%","±0.3","48,371","±1,897","13.2%","±0.5","48,212","±1,456","12.0%","±0.3","90,560","±2,520","12.0%","±0.3","46,191","±1,681","12.7%","±0.4","44,369","±1,624","11.3%","±0.4","98,069","±1,725","13.0%","±0.2","50,792","±1,168","13.9%","±0.3","47,277","±1,144","12.1%","±0.3","95,246","±1,463","12.5%","±0.2","47,796","±967","12.8%","±0.2","47,450","±1,058","12.1%","±0.2","96,330","±1,642","12.5%","±0.2","49,281","±1,128","12.9%","±0.3","47,049","±1,204","12.1%","±0.3","86,185","±1,813","12.0%","±0.2","44,112","±1,279","12.9%","±0.3","42,073","±1,312","11.2%","±0.3","98,017","±1,966","12.7%","±0.2","50,279","±1,390","13.4%","±0.3","47,738","±1,414","12.1%","±0.3"
"        15 to 17 years","227,683","±294","3.8%","±0.1","115,820","±334","4.0%","±0.1","111,863","±289","3.6%","±0.1","28,969","±613","3.9%","±0.1","14,681","±544","4.1%","±0.1","14,288","±518","3.8%","±0.1","27,268","±987","3.5%","±0.1","13,485","±703","3.7%","±0.2","13,783","±691","3.4%","±0.2","26,436","±1,283","3.5%","±0.2","13,537","±895","3.7%","±0.2","12,899","±847","3.3%","±0.2","27,326","±1,051","3.6%","±0.1","14,158","±680","3.9%","±0.2","13,168","±744","3.4%","±0.2","30,527","±816","4.0%","±0.1","15,493","±581","4.1%","±0.2","15,034","±564","3.8%","±0.1","30,598","±827","4.0%","±0.1","15,503","±549","4.1%","±0.1","15,095","±628","3.9%","±0.2","26,732","±792","3.7%","±0.1","13,576","±612","4.0%","±0.2","13,156","±564","3.5%","±0.1","29,827","±1,037","3.9%","±0.1","15,387","±754","4.1%","±0.2","14,440","±787","3.7%","±0.2"
"        Under 18 years","1,340,766","±169","22.2%","±0.1","683,905","±580","23.4%","±0.1","656,861","±578","21.1%","±0.1","155,662","±1,413","21.2%","±0.1","80,482","±1,190","22.3%","±0.3","75,180","±1,079","20.2%","±0.2","174,810","±3,183","22.7%","±0.3","86,364","±2,393","23.6%","±0.5","88,446","±1,796","22.0%","±0.4","162,534","±3,431","21.5%","±0.3","83,275","±2,325","22.9%","±0.5","79,259","±1,986","20.2%","±0.4","176,654","±2,175","23.4%","±0.2","91,313","±1,455","25.0%","±0.3","85,341","±1,632","21.8%","±0.3","170,773","±1,969","22.3%","±0.2","86,355","±1,301","23.1%","±0.3","84,418","±1,569","21.6%","±0.3","173,998","±2,219","22.6%","±0.2","88,820","±1,383","23.3%","±0.3","85,178","±1,727","21.8%","±0.3","153,029","±2,521","21.3%","±0.2","78,960","±1,729","23.1%","±0.4","74,069","±1,685","19.7%","±0.3","173,306","±2,815","22.5%","±0.3","88,336","±1,794","23.6%","±0.4","84,970","±2,167","21.5%","±0.4"
"        18 to 24 years","532,160","±710","8.8%","±0.1","270,402","±495","9.2%","±0.1","261,758","±416","8.4%","±0.1","65,489","±881","8.9%","±0.1","33,544","±595","9.3%","±0.2","31,945","±588","8.6%","±0.1","66,796","±1,646","8.7%","±0.2","33,483","±1,237","9.1%","±0.3","33,313","±1,271","8.3%","±0.3","69,460","±2,018","9.2%","±0.2","35,459","±1,451","9.7%","±0.4","34,001","±1,393","8.7%","±0.3","58,275","±1,567","7.7%","±0.2","28,709","±1,083","7.9%","±0.3","29,566","±1,031","7.6%","±0.2","78,147","±1,517","10.2%","±0.2","40,802","±1,016","10.9%","±0.3","37,345","±907","9.5%","±0.2","66,336","±1,555","8.6%","±0.2","34,768","±1,012","9.1%","±0.2","31,568","±1,024","8.1%","±0.2","67,449","±1,622","9.4%","±0.2","33,909","±1,035","9.9%","±0.3","33,540","±1,045","8.9%","±0.3","60,208","±1,544","7.8%","±0.2","29,728","±1,051","7.9%","±0.3","30,480","±1,021","7.7%","±0.2"
"        15 to 44 years","2,365,304","±732","39.2%","±0.1","1,177,182","±684","40.2%","±0.1","1,188,122","±671","38.2%","±0.1","259,284","±1,676","35.3%","±0.2","130,089","±1,013","36.0%","±0.2","129,195","±1,229","34.6%","±0.2","318,941","±3,399","41.5%","±0.3","156,398","±2,631","42.7%","±0.5","162,543","±2,359","40.4%","±0.4","311,761","±4,004","41.2%","±0.4","153,797","±2,797","42.2%","±0.6","157,964","±2,266","40.3%","±0.4","298,983","±3,676","39.6%","±0.3","148,343","±2,559","40.7%","±0.5","150,640","±1,947","38.5%","±0.3","302,314","±2,938","39.5%","±0.2","152,939","±2,064","40.9%","±0.4","149,375","±1,650","38.2%","±0.3","298,904","±3,194","38.8%","±0.3","153,387","±2,204","40.3%","±0.4","145,517","±1,909","37.3%","±0.4","287,362","±3,444","40.0%","±0.2","138,711","±2,187","40.7%","±0.4","148,651","±2,150","39.5%","±0.3","287,755","±3,614","37.4%","±0.3","143,518","±2,242","38.4%","±0.4","144,237","±2,175","36.5%","±0.4"
"        16 years and over","4,846,076","±1,594","80.3%","±0.1","2,318,994","±1,095","79.3%","±0.1","2,527,082","±1,170","81.2%","±0.1","597,734","±2,844","81.4%","±0.2","290,433","±1,684","80.5%","±0.3","307,301","±1,807","82.4%","±0.2","611,809","±5,049","79.6%","±0.4","289,249","±3,443","78.9%","±0.6","322,560","±3,207","80.2%","±0.4","611,279","±5,290","80.8%","±0.4","290,343","±3,442","79.7%","±0.5","320,936","±3,472","81.8%","±0.4","596,239","±4,956","78.9%","±0.2","282,583","±2,907","77.5%","±0.3","313,656","±2,918","80.3%","±0.3","614,553","±4,306","80.3%","±0.2","297,508","±2,519","79.6%","±0.3","317,045","±2,545","81.0%","±0.3","616,774","±4,151","80.0%","±0.2","301,835","±2,742","79.3%","±0.3","314,939","±2,548","80.7%","±0.4","582,418","±5,339","81.1%","±0.3","271,434","±3,043","79.6%","±0.4","310,984","±3,458","82.5%","±0.4","615,270","±4,650","79.9%","±0.3","295,609","±3,034","79.0%","±0.4","319,661","±2,746","80.8%","±0.4"
"        18 years and over","4,696,858","±169","77.8%","±0.1","2,241,739","±419","76.6%","±0.1","2,455,119","±369","78.9%","±0.1","578,394","±2,702","78.8%","±0.1","280,518","±1,687","77.7%","±0.3","297,876","±1,660","79.8%","±0.2","593,772","±4,761","77.3%","±0.3","280,119","±3,365","76.4%","±0.5","313,653","±2,968","78.0%","±0.4","593,757","±4,963","78.5%","±0.3","280,802","±3,264","77.1%","±0.5","312,955","±3,453","79.8%","±0.4","578,719","±4,725","76.6%","±0.2","273,231","±2,813","75.0%","±0.3","305,488","±2,802","78.2%","±0.3","594,094","±4,060","77.7%","±0.2","287,308","±2,358","76.9%","±0.3","306,786","±2,411","78.4%","±0.3","596,859","±4,089","77.4%","±0.2","291,804","±2,637","76.7%","±0.3","305,055","±2,510","78.2%","±0.3","564,924","±5,059","78.7%","±0.2","262,243","±2,913","76.9%","±0.4","302,681","±3,340","80.3%","±0.3","596,339","±4,598","77.5%","±0.3","285,714","±2,942","76.4%","±0.4","310,625","±2,694","78.5%","±0.4"
"        21 years and over","4,467,072","±2,089","74.0%","±0.1","2,123,226","±1,481","72.6%","±0.1","2,343,846","±1,505","75.3%","±0.1","549,665","±2,567","74.9%","±0.2","265,491","±1,666","73.5%","±0.3","284,174","±1,552","76.2%","±0.2","566,738","±4,612","73.7%","±0.4","266,477","±3,258","72.7%","±0.6","300,261","±2,786","74.7%","±0.4","564,747","±4,700","74.7%","±0.4","266,116","±2,964","73.1%","±0.5","298,631","±3,204","76.1%","±0.5","555,619","±4,396","73.6%","±0.2","261,102","±2,605","71.6%","±0.3","294,517","±2,540","75.4%","±0.3","556,487","±3,969","72.8%","±0.2","267,789","±2,155","71.7%","±0.3","288,698","±2,514","73.8%","±0.3","568,129","±4,198","73.7%","±0.3","276,778","±2,633","72.7%","±0.4","291,351","±2,572","74.7%","±0.4","534,369","±4,799","74.4%","±0.3","246,912","±2,836","72.4%","±0.5","287,457","±3,213","76.3%","±0.4","571,318","±4,705","74.2%","±0.3","272,561","±2,984","72.9%","±0.4","298,757","±2,738","75.5%","±0.5"
"        60 years and over","1,315,285","±3,710","21.8%","±0.1","585,469","±2,299","20.0%","±0.1","729,816","±2,573","23.5%","±0.1","192,358","±2,220","26.2%","±0.3","90,081","±1,450","25.0%","±0.3","102,277","±1,408","27.4%","±0.4","153,594","±2,789","20.0%","±0.4","66,732","±1,554","18.2%","±0.4","86,862","±1,760","21.6%","±0.4","162,738","±2,614","21.5%","±0.3","72,204","±1,516","19.8%","±0.4","90,534","±1,899","23.1%","±0.5","151,170","±2,023","20.0%","±0.3","65,484","±1,289","18.0%","±0.4","85,686","±1,332","21.9%","±0.3","153,618","±2,006","20.1%","±0.3","69,644","±1,416","18.6%","±0.4","83,974","±1,349","21.5%","±0.3","163,466","±2,259","21.2%","±0.3","73,541","±1,210","19.3%","±0.3","89,925","±1,615","23.0%","±0.4","160,796","±2,234","22.4%","±0.3","68,855","±1,401","20.2%","±0.4","91,941","±1,539","24.4%","±0.3","177,545","±2,422","23.1%","±0.3","78,928","±1,383","21.1%","±0.4","98,617","±1,700","24.9%","±0.4"
"        62 years and over","1,153,668","±3,100","19.1%","±0.1","508,686","±1,986","17.4%","±0.1","644,982","±2,027","20.7%","±0.1","170,822","±1,925","23.3%","±0.2","78,688","±1,160","21.8%","±0.3","92,134","±1,240","24.7%","±0.3","133,001","±2,496","17.3%","±0.3","57,376","±1,406","15.7%","±0.4","75,625","±1,622","18.8%","±0.4","144,115","±2,423","19.1%","±0.3","63,623","±1,431","17.5%","±0.4","80,492","±1,661","20.5%","±0.4","131,635","±1,854","17.4%","±0.2","56,382","±1,183","15.5%","±0.3","75,253","±1,317","19.3%","±0.3","132,998","±1,561","17.4%","±0.2","59,714","±1,181","16.0%","±0.3","73,284","±1,198","18.7%","±0.3","143,248","±2,047","18.6%","±0.3","63,678","±1,102","16.7%","±0.3","79,570","±1,498","20.4%","±0.3","139,965","±1,994","19.5%","±0.3","59,530","±1,210","17.4%","±0.4","80,435","±1,521","21.3%","±0.3","157,884","±2,178","20.5%","±0.3","69,695","±1,249","18.6%","±0.3","88,189","±1,542","22.3%","±0.4"
"        65 years and over","930,875","±397","15.4%","±0.1","402,605","±328","13.8%","±0.1","528,270","±291","17.0%","±0.1","139,402","±1,365","19.0%","±0.2","63,045","±974","17.5%","±0.2","76,357","±853","20.5%","±0.2","105,002","±1,957","13.7%","±0.3","44,328","±1,139","12.1%","±0.3","60,674","±1,426","15.1%","±0.3","116,922","±1,905","15.5%","±0.2","50,672","±1,195","13.9%","±0.3","66,250","±1,411","16.9%","±0.3","105,667","±1,441","14.0%","±0.2","44,365","±859","12.2%","±0.2","61,302","±1,097","15.7%","±0.2","105,022","±1,289","13.7%","±0.2","46,176","±863","12.4%","±0.2","58,846","±970","15.0%","±0.2","116,286","±1,680","15.1%","±0.2","50,574","±813","13.3%","±0.2","65,712","±1,295","16.8%","±0.3","113,744","±1,774","15.8%","±0.2","47,280","±1,020","13.9%","±0.3","66,464","±1,294","17.6%","±0.3","128,830","±1,643","16.7%","±0.2","56,165","±937","15.0%","±0.3","72,665","±1,251","18.4%","±0.3"
"        75 years and over","384,121","±449","6.4%","±0.1","153,687","±290","5.3%","±0.1","230,434","±273","7.4%","±0.1","58,332","±712","7.9%","±0.1","24,731","±442","6.9%","±0.1","33,601","±548","9.0%","±0.1","40,584","±1,267","5.3%","±0.2","15,512","±673","4.2%","±0.2","25,072","±1,055","6.2%","±0.3","50,986","±1,539","6.7%","±0.2","20,428","±927","5.6%","±0.3","30,558","±1,152","7.8%","±0.3","42,079","±991","5.6%","±0.1","16,793","±627","4.6%","±0.2","25,286","±701","6.5%","±0.2","38,892","±951","5.1%","±0.1","16,008","±631","4.3%","±0.2","22,884","±611","5.8%","±0.1","48,711","±1,222","6.3%","±0.2","19,442","±546","5.1%","±0.1","29,269","±884","7.5%","±0.2","47,338","±1,152","6.6%","±0.2","17,898","±665","5.2%","±0.2","29,440","±923","7.8%","±0.2","57,199","±1,187","7.4%","±0.2","22,875","±614","6.1%","±0.2","34,324","±873","8.7%","±0.2"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","38.8","±0.2","(X)","(X)","37.3","±0.1","(X)","(X)","40.3","±0.1","(X)","(X)","42.6","±0.3","(X)","(X)","41.0","±0.3","(X)","(X)","44.1","±0.3","(X)","(X)","36.6","±0.3","(X)","(X)","35.6","±0.4","(X)","(X)","37.6","±0.4","(X)","(X)","37.7","±0.3","(X)","(X)","35.9","±0.4","(X)","(X)","39.3","±0.4","(X)","(X)","38.1","±0.3","(X)","(X)","36.4","±0.3","(X)","(X)","39.6","±0.3","(X)","(X)","38.5","±0.3","(X)","(X)","36.7","±0.3","(X)","(X)","40.1","±0.3","(X)","(X)","39.2","±0.3","(X)","(X)","37.8","±0.4","(X)","(X)","40.7","±0.4","(X)","(X)","38.4","±0.3","(X)","(X)","36.6","±0.4","(X)","(X)","40.2","±0.4","(X)","(X)","40.4","±0.3","(X)","(X)","39.0","±0.3","(X)","(X)","41.5","±0.4","(X)","(X)"
"        Sex ratio (males per 100 females)","94.0","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","96.8","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","91.1","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","92.8","±1.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","93.3","±0.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","95.5","±0.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","97.5","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","90.6","±1.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","94.6","±1.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","60.3","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","67.2","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","57.2","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","58.6","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","59.7","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","56.4","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","60.4","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","59.1","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","64.6","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","24.7","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.8","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.5","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.5","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.3","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.5","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.2","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.2","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.6","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.6","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.5","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.8","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.1","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.3","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.9","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.2","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.9","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.1","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"